contract,gm1%,spc2014,spc2016,spc-new
NCL2015-0134,8.39,142039.17,148101.85,222152.77
NCL2015-0134,8.48,144926.14,148246.20,222369.30
NCL2015-0134,8.57,147813.12,148390.55,222585.82
NCL2015-0134,8.65,150700.09,148534.89,222802.34
NCL2015-0134,8.74,153587.07,148679.24,223018.87
NCL2015-0134,8.83,156474.04,148823.59,223235.39
NCL2015-0134,8.92,159361.02,148967.94,223451.91
NCL2015-0134,9.01,162247.99,149112.29,223668.43
NCL2015-0134,9.10,165134.97,149256.64,223884.96
NCL2015-0134,9.18,168021.95,149400.99,224101.48
NCL2015-0134,9.27,170908.92,149545.34,224318.00
NCL2015-0134,9.36,173795.90,149689.68,224534.53
NCL2015-0134,9.45,176682.87,149834.03,224751.05
NCL2015-0134,9.53,179569.85,149978.38,224967.57
NCL2015-0134,9.62,182456.82,150122.73,225184.10
NCL2015-0134,9.71,185343.80,150267.08,225400.62
NCL2015-0134,9.79,188230.78,150411.43,225617.14
NCL2015-0134,9.88,191117.75,150555.78,225833.67
NCL2015-0134,9.97,194004.73,150700.13,226050.19
NCL2015-0134,10.05,196891.70,226266.71,301688.95
NCL2015-0134,10.14,199778.68,226483.24,301977.65
NCL2015-0134,10.23,202665.65,226699.76,302266.35
NCL2015-0134,10.31,205552.63,226916.28,302555.04
NCL2015-0134,10.40,208439.60,227132.81,302843.74
NCL2015-0134,10.48,211326.58,227349.33,303132.44
NCL2015-0134,10.57,214213.56,227565.85,303421.14
NCL2015-0134,10.65,217100.53,227782.37,303709.83
NCL2015-0134,10.74,219987.51,227998.90,303998.53
NCL2015-0134,10.82,222874.48,228215.42,304287.23
NCL2015-0134,10.91,225761.46,228431.94,304575.93
NCL2015-0134,10.99,228648.43,228648.47,304864.62
NCL2015-0134,11.07,231535.41,228864.99,305153.32
NCL2015-0134,11.16,234422.38,229081.51,305442.02
NCL2015-0134,11.24,237309.36,229298.04,305730.72
NCL2015-0134,11.33,240196.34,229514.56,306019.41
NCL2015-0134,11.41,243083.31,229731.08,306308.11
NCL2015-0134,11.49,245970.29,229947.61,306596.81
NCL2015-0134,11.58,248857.26,230164.13,306885.51
NCL2015-0134,11.66,251744.24,230380.65,307174.20
NCL2015-0134,11.74,254631.21,230597.18,307462.90
NCL2015-0134,11.83,257518.19,230813.70,307751.60
NCL2015-0134,11.91,260405.17,231030.22,308040.30
NCL2015-0134,11.99,263292.14,231246.75,308328.99
NCL2015-0134,12.07,266179.12,231463.27,308617.69
NCL2015-0134,12.15,269066.09,231679.79,308906.39
NCL2015-0134,12.24,271953.07,231896.32,309195.09
NCL2015-0134,12.32,274840.04,232112.84,309483.78
NCL2015-0134,12.40,277727.02,232329.36,309772.48
NCL2015-0134,12.48,280613.99,232545.88,310061.18
NCL2015-0134,12.56,283500.97,232762.41,310349.88
NCL2015-0134,12.64,286387.95,232978.93,310638.57
NCL2015-0134,12.73,289274.92,233195.45,310927.27
NCL2015-0134,12.81,292161.90,233411.98,311215.97
NCL2015-0134,12.89,295048.87,233628.50,311504.67
NCL2015-0134,12.97,297935.85,233845.02,311793.36
NCL2015-0134,13.05,300822.82,234061.55,312082.06
NCL2015-0134,13.13,303709.80,234278.07,312370.76
NCL2015-0134,13.21,306596.77,234494.59,312659.46
NCL2015-0134,13.29,309483.75,234711.12,312948.16
NCL2015-0134,13.37,312370.73,234927.64,313236.85
NCL2015-0134,13.45,394072.13,235144.16,313525.55
NCL2015-0134,13.53,397680.85,235360.69,313814.25
NCL2015-0134,13.61,401289.57,235577.21,314102.95
NCL2015-0134,13.69,404898.29,235793.73,314391.64
NCL2015-0134,13.77,408507.00,236010.26,314680.34
NCL2015-0134,13.85,412115.72,236226.78,314969.04
NCL2015-0134,13.92,415724.44,236443.30,315257.74
NCL2015-0134,14.00,419333.16,236659.82,315546.43
NCL2015-0134,14.08,422941.88,236876.35,315835.13
NCL2015-0134,14.16,426550.60,237092.87,316123.83
NCL2015-0134,14.24,430159.32,237309.39,316412.53
NCL2015-0134,14.32,433768.04,237525.92,316701.22
NCL2015-0134,14.39,437376.76,237742.44,316989.92
NCL2015-0134,14.47,440985.48,237958.96,317278.62
NCL2015-0134,14.55,444594.20,238175.49,317567.32
NCL2015-0134,14.63,448202.92,238392.01,317856.01
NCL2015-0134,14.71,451811.64,238608.53,318144.71
NCL2015-0134,14.78,455420.36,238825.06,318433.41
NCL2015-0134,14.86,459029.08,239041.58,318722.11
NCL2015-0134,14.94,462637.80,239258.10,319010.80
NCL2015-0134,15.01,466246.52,399124.38,478949.25
NCL2015-0134,15.09,469855.24,399485.25,479382.30
NCL2015-0134,15.17,473463.96,399846.12,479815.34
NCL2015-0134,15.24,477072.68,400206.99,480248.39
NCL2015-0134,15.32,480681.40,400567.86,480681.44
NCL2015-0134,15.40,484290.11,400928.74,481114.48
NCL2015-0134,15.47,487898.83,401289.61,481547.53
NCL2015-0134,15.55,491507.55,401650.48,481980.58
NCL2015-0134,15.62,495116.27,402011.35,482413.62
NCL2015-0134,15.70,498724.99,402372.22,482846.67
NCL2015-0134,15.78,502333.71,402733.10,483279.72
NCL2015-0134,15.85,505942.43,403093.97,483712.76
NCL2015-0134,15.93,509551.15,403454.84,484145.81
NCL2015-0134,16.00,513159.87,403815.71,484578.85
NCL2015-0134,16.08,516768.59,404176.58,485011.90
NCL2015-0134,16.15,520377.31,404537.46,485444.95
NCL2015-0134,16.23,523986.03,404898.33,485877.99
NCL2015-0134,16.30,527594.75,405259.20,486311.04
NCL2015-0134,16.38,531203.47,405620.07,486744.09
NCL2015-0134,16.45,534812.19,405980.94,487177.13
NCL2015-0134,16.52,538420.91,406341.82,487610.18
NCL2015-0134,16.60,542029.63,406702.69,488043.23
NCL2015-0134,16.67,545638.35,407063.56,488476.27
NCL2015-0134,16.75,549247.07,407424.43,488909.32
NCL2015-0134,16.82,552855.79,407785.30,489342.36
NCL2015-0134,16.89,556464.50,408146.18,489775.41
NCL2015-0134,16.97,560073.22,408507.05,490208.46
NCL2015-0134,17.04,563681.94,408867.92,490641.50
NCL2015-0134,17.11,567290.66,409228.79,491074.55
NCL2015-0134,17.19,570899.38,409589.66,491507.60
NCL2015-0134,17.26,574508.10,409950.54,491940.64
NCL2015-0134,17.33,578116.82,410311.41,492373.69
NCL2015-0134,17.40,581725.54,410672.28,492806.73
NCL2015-0134,17.48,585334.26,411033.15,493239.78
NCL2015-0134,17.55,588942.98,411394.02,493672.83
NCL2015-0134,17.62,592551.70,411754.89,494105.87
NCL2015-0134,17.69,596160.42,412115.77,494538.92
NCL2015-0134,17.77,599769.14,412476.64,494971.97
NCL2015-0134,17.84,603377.86,412837.51,495405.01
NCL2015-0134,17.91,606986.58,413198.38,495838.06
NCL2015-0134,17.98,610595.30,413559.25,496271.11
NCL2015-0134,18.05,614204.02,413920.13,496704.15
NCL2015-0134,18.12,617812.74,414281.00,497137.20
NCL2015-0134,18.19,621421.46,414641.87,497570.24
NCL2015-0134,18.27,625030.17,415002.74,498003.29
NCL2015-0134,18.34,628638.89,415363.61,498436.34
NCL2015-0134,18.41,632247.61,415724.49,498869.38
NCL2015-0134,18.48,635856.33,416085.36,499302.43
NCL2015-0134,18.55,639465.05,416446.23,499735.48
NCL2015-0134,18.62,643073.77,416807.10,500168.52
